alpha = 1.035000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.060000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.085000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.110000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.135000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.160000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.185000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.210000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.235000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.260000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.285000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.310000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.335000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.360000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.385000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.410000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.435000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.460000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.485000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.510000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.535000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.560000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.585000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.610000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.635000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.660000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.685000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.710000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.735000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.760000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.785000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.810000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.835000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.860000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.885000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.910000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.935000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.960000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 1.985000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.010000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.035000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.060000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.085000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.110000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.135000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.160000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.185000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.210000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.235000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.260000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.285000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.310000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.335000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.360000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.385000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.410000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.435000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.460000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.485000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.510000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.535000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.560000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.585000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.610000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.635000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.660000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.685000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.710000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.735000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.760000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.785000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.810000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.835000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.860000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.885000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.910000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.935000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.960000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 2.985000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.010000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.035000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.060000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.085000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.110000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.135000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.160000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.185000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.210000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.235000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.260000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.285000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.310000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.335000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.360000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.385000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.410000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.435000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.460000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.485000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.510000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.535000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.560000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.585000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.610000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.635000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.660000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.685000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.710000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.735000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.760000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.785000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.810000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.835000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.860000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.885000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.910000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.935000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.960000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 3.985000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 4.010000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 4.035000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 4.060000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 4.085000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 4.110000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 4.135000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 4.160000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
alpha = 4.185000, tolerance = 0.000100, mean = 0.271466, std = 0.110727
